#OK
#SQL= select * from MDR1..BDMW where snapnum = 85 and z between 760.000000 and 800.000000 and Mtot > 5e13
#MAXROWS UNLIMITED
#QUERYTIMEOUT 420 sec
#DATE 2013-07-25 18:47:12.662 CEST
#QUERYTIME 311 millisec
#COLUMN 1 name=bdmId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=snapnum JDBC_TYPE=5 JDBC_TYPENAME=smallint
#COLUMN 3 name=NInCat JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 4 name=hostFlag JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 5 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=vx JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=vy JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 10 name=vz JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 11 name=np JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 12 name=Mvir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 13 name=Mtot JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 14 name=Rvir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 15 name=Vrms JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 16 name=Vcir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 17 name=conc JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 18 name=Xoff JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 19 name=virialRatio JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 20 name=spin JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 21 name=Rrms JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 22 name=axisratio_2_1 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 23 name=axisratio_3_1 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 24 name=axis1_x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 25 name=axis1_y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 26 name=axis1_z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 27 name=ix JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 28 name=iy JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 29 name=iz JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 30 name=phkey JDBC_TYPE=4 JDBC_TYPENAME=int
bdmId,snapnum,NInCat,hostFlag,x,y,z,vx,vy,vz,np,Mvir,Mtot,Rvir,Vrms,Vcir,conc,Xoff,virialRatio,spin,Rrms,axisratio_2_1,axisratio_3_1,axis1_x,axis1_y,axis1_z,ix,iy,iz,phkey
8508227355,85,8227355,-1,875.3619,91.0595,760.8192,-279.96,-169.19,-95.2,5616,4.8700001E13,5.1949999E13,0.6084,664.4,629.2,5.333,0.0301,0.2347,0.012,0.3252,0.7057,0.6903,-0.6846,0.6862,0.2458,896,93,779,648835162
8508229680,85,8229680,-1,890.2498,33.6909,766.114,129.47,190.86,155.82,11038,9.5719998E13,9.882E13,0.7539,867.4,793.0,5.36,0.0272,0.3094,0.0333,0.4035,0.5776,0.5027,0.6353,0.7379,0.228,911,34,784,648787537
8508230013,85,8230013,-1,923.9286,90.7196,762.7278,143.8,-103.08,76.11,9615,8.3380004E13,8.5780001E13,0.7192,817.5,753.0,5.128,0.1519,0.3188,0.0527,0.3937,0.5603,0.4337,0.1501,0.7317,-0.6649,946,92,781,648906139
8508230278,85,8230278,-1,892.9439,106.8263,769.2964,142.72,495.09,-100.88,15010,1.30199996E14,1.338E14,0.8301,1005.0,907.6,6.441,0.0824,0.3411,0.0685,0.4316,0.8603,0.7237,0.529,-0.3565,0.7701,914,109,787,648857188
8508230783,85,8230783,-1,919.5202,80.9233,765.3889,334.47,423.49,-264.87,7619,6.6070002E13,7.7170001E13,0.6944,878.4,710.8,6.643,0.109,0.674,0.0275,0.353,0.8102,0.4585,0.7599,-0.5625,0.3256,941,82,783,648919430
8508231230,85,8231230,-1,921.2568,38.136,766.7032,-286.28,242.53,468.41,4412,3.8260001E13,5.167E13,0.6074,792.4,564.4,5.735,0.0717,1.086,0.0373,0.3309,0.6574,0.4949,0.3633,0.6392,-0.6778,943,39,785,648568631
8508232093,85,8232093,-1,943.8683,76.2744,763.4619,-132.29,440.23,23.98,8466,7.342E13,7.8839997E13,0.6993,766.7,729.9,5.804,0.044,0.2173,0.0476,0.3743,0.7621,0.6199,0.6585,-0.6581,0.3652,966,78,781,648177733
8508233353,85,8233353,-1,901.2292,40.0876,771.9374,25.73,261.09,54.44,6698,5.8089999E13,6.0899998E13,0.6416,766.3,711.9,7.669,0.0614,0.3145,0.0226,0.3338,0.9043,0.5991,-0.1256,0.9246,-0.3597,922,41,790,648783045
8508233486,85,8233486,-1,896.4396,120.2285,765.8757,-143.05,275.18,-163.05,10963,9.5069999E13,1.01099999E14,0.7598,843.2,769.9,4.55,0.0387,0.3206,0.057,0.4217,0.694,0.4925,0.2298,0.5831,-0.7792,917,123,784,648862664
8508233982,85,8233982,-1,948.1942,98.5838,761.7084,209.84,433.06,-280.11,18268,1.58400004E14,1.63600002E14,0.8876,1000.0,964.2,6.283,0.0722,0.207,0.0562,0.4701,0.8207,0.5969,0.6603,0.6552,0.3671,970,100,779,648143207
8508234108,85,8234108,-1,938.293,199.8176,766.487,274.05,-124.21,-124.94,7541,6.54E13,6.6720002E13,0.6615,751.3,714.4,6.115,0.0305,0.202,0.0387,0.3575,0.5579,0.5164,0.7391,0.2822,-0.6116,960,204,784,647632448
